Site,SO1,SO2,SO3,SO4,PAS,R,H,C,AllPrey,Imp,Hum,Post,Bound,Htd
98,1,0,1,1,1.12,-1.09,-1.61,1.22,0.70,1.67,-1.41,-0.20,1.63,1.03
99,1,0,1,1,1.12,-0.39,-2.22,1.02,0.38,1.67,-1.41,-1.13,1.17,1.03
100,1,1,0,0,1.12,-0.06,-2.22,0.76,0.51,1.67,-1.36,-1.77,0.70,0.23
101,0,1,0,1,1.12,1.13,-2.22,0.39,0.32,1.63,-1.20,-1.01,0.09,-1.17
103,1,1,1,NA,-1.08,-1.12,-2.22,-1.15,-0.06,1.67,1.03,1.10,-1.08,0.37
110,1,1,0,0,0.81,-1.87,0.54,-0.36,0.76,0.34,0.22,-0.38,-0.93,-1.01
112,1,1,1,NA,1.12,-0.72,0.54,0.74,1.02,1.14,-0.99,1.07,0.35,-1.25
114,1,1,0,0,1.12,-0.35,0.54,1.25,1.14,1.35,-1.41,0.36,1.65,1.03
115,1,1,0,0,1.12,-1.14,0.54,1.41,1.08,1.32,-1.44,0.48,2.24,1.03
116,0,1,1,1,1.12,0.40,0.04,1.32,0.95,1.32,-1.41,0.04,2.07,1.03
117,1,1,0,1,1.12,-0.70,-1.83,1.13,0.64,1.67,-1.41,-0.93,1.53,0.30
127,0,0,NA,NA,-1.08,1.13,0.54,-0.54,-0.95,-1.46,1.13,0.46,-1.11,0.16
128,1,0,1,0,-0.71,-0.53,0.54,-0.03,0.13,-0.94,1.00,0.62,-0.66,0.63
129,0,0,0,NA,0.50,0.45,0.54,0.46,0.38,-0.42,0.16,1.14,-0.15,-0.68
130,1,0,NA,NA,1.05,0.01,0.54,0.82,0.76,0.21,-0.73,1.75,0.44,-1.27
131,1,0,0,1,1.12,2.20,0.54,1.08,0.89,0.48,-1.23,1.46,1.07,-0.44
132,1,1,1,1,1.12,0.68,0.54,1.30,0.95,0.97,-1.39,1.22,1.71,1.01
134,1,1,NA,NA,1.12,-0.93,0.49,1.40,1.08,1.21,-1.44,0.60,2.35,-0.01
147,1,1,1,0,-1.08,-0.09,0.54,0.55,-0.12,-1.46,0.95,1.90,0.22,1.03
148,1,0,NA,NA,-0.95,-0.11,0.54,0.88,0.13,-1.08,0.45,1.43,0.70,0.89
149,0,0,1,NA,0.75,0.19,0.54,1.14,0.64,-0.14,-1.20,0.78,1.18,-0.89
150,1,1,0,0,1.12,0.01,0.54,1.34,0.95,0.80,-1.39,0.44,1.69,-0.82
163,0,0,NA,NA,-1.08,-1.12,0.54,-1.18,-0.19,-1.60,1.16,2.66,-0.83,-1.25
164,1,0,1,0,-1.08,-0.13,0.54,-0.04,-0.12,-1.50,1.11,2.52,-0.22,-0.13
165,0,1,0,0,-1.08,-0.49,0.54,0.51,-0.12,-1.50,0.98,1.71,0.11,0.32
166,0,1,1,0,-0.88,0.38,0.54,0.86,0.19,-0.70,0.48,0.73,0.35,0.08
362,0,0,NA,NA,-1.08,1.43,0.54,-2.05,-3.68,-1.67,0.92,-1.00,-0.97,-1.34
363,0,1,0,0,-1.08,1.55,0.54,-1.09,-0.44,-0.91,1.06,-1.11,-1.13,-1.34
364,0,0,0,NA,-1.08,-0.67,0.54,-1.69,-2.98,-1.32,0.98,-0.93,-1.01,-1.34
370,0,0,0,0,-1.08,0.22,0.54,-1.74,-2.79,-1.71,0.92,-1.81,-1.11,-1.34
371,0,0,0,0,-1.08,-0.86,0.54,-0.53,-0.19,-0.94,0.98,-1.20,-0.85,-1.34
372,1,1,1,1,-1.08,-0.09,0.54,-1.08,-0.19,-0.04,1.03,-0.21,-1.06,-1.34
373,1,0,0,NA,-1.08,1.83,0.54,-1.65,-2.53,-1.01,1.06,0.56,-1.05,-1.34
378,1,1,1,0,-1.08,-1.05,0.54,-1.45,-0.38,-0.63,0.98,-1.22,-1.06,-0.46
380,0,1,1,0,-1.08,-0.84,0.54,-0.10,0.00,-0.49,0.95,0.08,-0.56,-1.34
381,1,0,0,1,-1.08,-0.04,0.54,-0.52,0.26,0.76,1.03,0.86,-0.98,-1.34
