Site,SO1,SO2,SO3,SO4,PAS,R,H,C,Imp,AllPrey,Hum,Post,Bound,Htd,Riv
114,0,1,0,0,1.12,-0.35,0.54,-1.35,1.35,1.14,-1.41,0.36,1.65,1.03,0.07
115,1,1,1,1,1.12,-1.14,0.54,-1.47,1.32,1.08,-1.44,0.48,2.24,1.03,-0.17
116,1,0,0,0,1.12,0.40,0.04,-1.59,1.32,0.95,-1.41,0.04,2.07,1.03,-0.81
117,0,0,0,0,1.12,-0.70,-1.83,-1.90,1.67,0.64,-1.41,-0.93,1.53,0.30,-1.91
127,0,0,NA,NA,-1.08,1.13,0.54,1.72,-1.46,-0.95,1.13,0.46,-1.11,0.16,1.13
128,0,0,0,0,-0.71,-0.53,0.54,1.17,-0.94,0.13,1.00,0.62,-0.66,0.63,0.96
129,0,0,0,NA,0.50,0.45,0.54,0.13,-0.42,0.38,0.16,1.14,-0.15,-0.68,0.76
130,1,0,NA,NA,1.05,0.01,0.54,0.00,0.21,0.76,-0.73,1.75,0.44,-1.27,0.49
131,0,1,0,0,1.12,2.20,0.54,0.00,0.48,0.89,-1.23,1.46,1.07,-0.44,0.11
132,0,0,0,0,1.12,0.68,0.54,-1.16,0.97,0.95,-1.39,1.22,1.71,1.01,-0.53
134,0,0,NA,NA,1.12,-0.93,0.49,-0.73,1.21,1.08,-1.44,0.60,2.35,-0.01,-2.03
147,0,0,0,0,-1.08,-0.09,0.54,1.91,-1.46,-0.12,0.95,1.90,0.22,1.03,0.76
148,0,0,NA,NA,-0.95,-0.11,0.54,1.41,-1.08,0.13,0.45,1.43,0.70,0.89,0.49
149,0,0,0,NA,0.75,0.19,0.54,0.62,-0.14,0.64,-1.20,0.78,1.18,-0.89,0.11
150,0,0,0,1,1.12,0.01,0.54,-0.67,0.80,0.95,-1.39,0.44,1.69,-0.82,-0.55
163,0,0,NA,NA,-1.08,-1.12,0.54,1.97,-1.60,-0.19,1.16,2.66,-0.83,-1.25,1.15
164,0,0,0,0,-1.08,-0.13,0.54,2.27,-1.50,-0.12,1.11,2.52,-0.22,-0.13,1.00
165,0,0,0,0,-1.08,-0.49,0.54,2.09,-1.50,-0.12,0.98,1.71,0.11,0.32,0.82
166,0,1,0,0,-0.88,0.38,0.54,0.86,-0.70,0.19,0.48,0.73,0.35,0.08,0.60
362,0,0,NA,NA,-1.08,1.43,0.54,0.19,-1.67,-3.68,0.92,-1.00,-0.97,-1.34,-0.14
363,0,0,0,0,-1.08,1.55,0.54,0.43,-0.91,-0.44,1.06,-1.11,-1.13,-1.34,-1.22
364,0,0,0,NA,-1.08,-0.67,0.54,-0.61,-1.32,-2.98,0.98,-0.93,-1.01,-1.34,-0.65
370,0,0,0,0,-1.08,0.22,0.54,0.68,-1.71,-2.79,0.92,-1.81,-1.11,-1.34,0.08
371,0,0,0,0,-1.08,-0.86,0.54,0.19,-0.94,-0.19,0.98,-1.20,-0.85,-1.34,-0.29
372,1,0,0,0,-1.08,-0.09,0.54,-1.04,-0.04,-0.19,1.03,-0.21,-1.06,-1.34,-0.16
373,0,0,0,NA,-1.08,1.83,0.54,0.06,-1.01,-2.53,1.06,0.56,-1.05,-1.34,0.23
378,0,0,0,0,-1.08,-1.05,0.54,-0.12,-0.63,-0.38,0.98,-1.22,-1.06,-0.46,0.40
380,0,0,0,0,-1.08,-0.84,0.54,-0.43,-0.49,0.00,0.95,0.08,-0.56,-1.34,0.29
381,0,0,0,0,-1.08,-0.04,0.54,-1.41,0.76,0.26,1.03,0.86,-0.98,-1.34,0.23
