Site,SO1,SO2,SO3,SO4,PAS,R,H,C,Buff,SecPrey,AllPrey,Hum,Post,Bound,Htd
131,1,0,1,0,1.12,2.20,0.54,1.08,0.31,0.81,0.89,-1.23,1.46,1.07,-0.44
132,0,0,0,0,1.12,0.68,0.54,1.30,0.37,1.02,0.95,-1.39,1.22,1.71,1.01
134,1,1,NA,NA,1.12,-0.93,0.49,1.40,0.37,1.08,1.08,-1.44,0.60,2.35,-0.01
147,0,1,0,0,-1.08,-0.09,0.54,0.55,0.37,-0.27,-0.12,0.95,1.90,0.22,1.03
148,1,1,NA,NA,-0.95,-0.11,0.54,0.88,0.31,-0.06,0.13,0.45,1.43,0.70,0.89
149,0,0,0,NA,0.75,0.19,0.54,1.14,0.31,0.54,0.64,-1.20,0.78,1.18,-0.89
150,0,0,1,0,1.12,0.01,0.54,1.34,0.31,0.95,0.95,-1.39,0.44,1.69,-0.82
163,0,0,NA,NA,-1.08,-1.12,0.54,-1.18,0.37,-0.33,-0.19,1.16,2.66,-0.83,-1.25
164,0,0,1,0,-1.08,-0.13,0.54,-0.04,0.37,-0.27,-0.12,1.11,2.52,-0.22,-0.13
165,0,0,0,0,-1.08,-0.49,0.54,0.51,0.37,-0.27,-0.12,0.98,1.71,0.11,0.32
166,0,0,0,0,-0.88,0.38,0.54,0.86,0.31,0.07,0.19,0.48,0.73,0.35,0.08
362,0,0,NA,NA,-1.08,1.43,0.54,-2.05,-3.61,-3.91,-3.68,0.92,-1.00,-0.97,-1.34
363,0,0,0,0,-1.08,1.55,0.54,-1.09,0.26,-0.27,-0.44,1.06,-1.11,-1.13,-1.34
364,0,0,0,NA,-1.08,-0.67,0.54,-1.69,-3.55,-3.04,-2.98,0.98,-0.93,-1.01,-1.34
370,0,0,0,0,-1.08,0.22,0.54,-1.74,-1.37,-2.90,-2.79,0.92,-1.81,-1.11,-1.34
371,0,0,0,0,-1.08,-0.86,0.54,-0.53,0.37,-0.06,-0.19,0.98,-1.20,-0.85,-1.34
372,0,0,0,1,-1.08,-0.09,0.54,-1.08,0.26,0.00,-0.19,1.03,-0.21,-1.06,-1.34
373,0,0,0,NA,-1.08,1.83,0.54,-1.65,-2.84,-2.50,-2.53,1.06,0.56,-1.05,-1.34
378,0,0,1,0,-1.08,-1.05,0.54,-1.45,0.26,-0.27,-0.38,0.98,-1.22,-1.06,-0.46
380,0,0,0,0,-1.08,-0.84,0.54,-0.10,0.37,0.14,0.00,0.95,0.08,-0.56,-1.34
381,0,0,0,0,-1.08,-0.04,0.54,-0.52,0.37,0.54,0.26,1.03,0.86,-0.98,-1.34
