Site,SO1,SO2,SO3,SO4,PA,PAS,R,Crop,H,C,DistV,Kud,Imp,AllPrey,Post,Hnt,Htd,Riv
174,0,0,0,0,0.68,1.31,-0.85,-0.54,-1.2,-1.11,0.45,0.48,1.32,0.74,-0.82,-0.92,-0.67,-1.7
175,0,0,0,0,0.68,-0.08,-0.52,-0.54,-1.2,-0.5,0.21,0.48,1.32,0.66,-1.24,-0.92,-0.67,-2.18
176,0,0,0,0,0.07,-0.9,-1.48,-0.54,-1.2,-0.31,-0.33,0.48,1.23,0,-1.3,-0.92,-0.67,-1.27
177,0,0,0,NA,-1.44,-0.9,-0.38,1.12,-1.2,-1.25,-1.63,-0.67,0.81,-1.14,-0.5,-0.92,-0.67,-0.04
178,0,0,0,0,-1.78,-0.9,-0.29,-0.39,-0.94,-0.21,-1.46,0.4,1.2,-0.98,0.54,-0.92,-0.67,0.48
184,0,0,NA,NA,0.68,0.47,0.39,-0.54,1,1.81,0.98,0.4,-1.34,0.49,0.52,-0.05,-0.67,1.08
185,0,1,0,NA,0.68,1.31,0.74,-0.54,1,1.39,1.21,0.44,-1.22,0.53,-0.55,-0.92,-0.67,0.87
186,0,0,0,0,0.68,1.31,-0.68,-0.54,1,0.63,1.4,0.44,-0.08,0.86,-1.44,-0.92,-0.67,0.62
189,0,0,0,0,0.68,1.31,0.43,-0.54,-0.01,0.07,1.12,0.48,0.87,1.02,-0.21,-0.92,-0.67,-1.25
190,0,0,0,0,0.68,1.31,-0.87,-0.54,-1.16,-1.34,0.91,0.48,1.29,0.7,-0.5,-0.92,-0.67,-1.65
191,0,0,0,0,0.68,1.31,-0.55,-0.54,-1.2,-1.25,0.55,0.48,1.32,0.74,-1.48,-0.92,-0.67,-2.17
192,0,0,0,0,0.68,0.82,0.11,-0.54,-1.2,-0.26,-0.02,0.48,1.29,0.62,-1.47,-0.92,-0.67,-1.47
193,0,0,0,0,-0.4,-0.72,-0.15,-0.46,-1.2,-0.59,-0.86,0.44,1.14,-0.24,-1.67,-0.92,-0.67,-1.59
194,0,0,NA,NA,-1.78,-0.9,-0.22,0.12,-1.07,-0.45,-0.72,0.28,0.42,-1.18,-0.93,-0.92,-0.67,-0.19
195,0,0,0,NA,-1.78,-0.9,-0.87,0.9,-0.61,-0.92,-1.76,-0.55,0.1,-1.43,0.07,-0.92,-0.67,0.37
196,0,0,NA,NA,-1.78,-0.9,-1.01,2.57,0.73,-1.3,-2.02,-3,-1.49,-2.17,1.01,-0.92,-0.67,0.71
204,0,0,0,0,0.68,1.31,0.55,-0.54,1,1.76,1.31,0.4,-1.31,0.57,-1.3,-0.92,-0.67,0.46
205,1,1,0,0,0.68,1.31,-0.15,-0.54,0.89,0.92,1.2,0.44,-0.11,0.9,-1.03,-0.92,-0.67,-0.22
206,0,0,0,NA,0.68,1.31,-0.15,-0.54,-0.46,0.78,1.02,0.44,0.9,1.02,-0.83,-0.92,-0.67,-1.05
207,0,0,0,NA,0.68,1.31,-0.34,-0.54,-1.2,0.35,0.85,0.48,0.66,0.49,-1.27,-0.92,-0.67,-1.36
208,0,0,0,0,0.68,1.31,0.01,-0.54,-1.2,-0.78,0.71,0.48,1.29,0.74,-0.73,-0.92,-0.67,-1.66
209,0,0,0,0,0.68,0.56,0.48,-0.54,-1.05,-0.35,0.32,0.48,1.26,0.74,-0.91,-0.92,-0.67,-1.41
210,0,0,0,0,0.07,-0.9,0.27,-0.47,-1.14,-0.54,-0.58,0.44,1.11,0.04,-0.88,-0.92,-0.67,-0.17
211,0,0,0,0,-1.66,-0.9,-1.36,1.29,-1.03,-0.4,-1.73,-1.18,-0.62,-1.63,-0.85,-0.92,-0.67,-0.37
212,0,0,NA,NA,-1.78,-0.9,0.15,0.24,0.65,0.54,-1.01,-0.03,-1.34,-1.55,-0.43,-0.92,-0.67,0.08
213,0,0,0,0,-1.78,-0.9,1.23,2.13,1,0.02,-1.73,-2.72,-1.64,-2.08,0.45,-0.92,-0.67,0.58
224,0,1,0,0,0.68,1.31,-1.92,-0.54,-1.2,0.49,0.78,0.44,1.26,0.86,-0.96,-0.92,-0.67,-1.93
225,0,0,0,0,0.68,1.27,0.18,-0.54,-0.92,0.68,0.48,0.44,1.2,0.9,-1.56,-0.92,-0.67,-1.69
226,0,0,0,0,0.68,0.67,1.13,-0.54,-0.92,0.45,0.25,0.44,0.6,0.53,-0.79,-0.92,-0.67,-0.43
227,0,0,0,0,0.68,-0.83,0.81,-0.54,-0.81,0.68,0.11,0.44,0.28,0.41,-0.01,-0.92,-0.67,-0.01
228,0,0,0,NA,-0.35,-0.9,-0.66,0.04,-0.15,-0.31,-1.18,0.16,0.19,-0.2,0.15,-0.92,-0.67,0.35
229,0,0,0,0,-1.78,-0.9,-1.29,-0.31,0.58,0.3,-1.2,0.36,-0.2,-1.27,0.24,-0.92,-0.67,0.41
230,0,0,0,NA,-1.78,-0.9,0.92,0.95,1,0.63,-1.47,-0.98,-1.55,-1.76,0.49,-0.92,-0.67,0.52
231,0,0,0,0,-1.78,-0.9,1.69,2.87,0.98,0.26,-1.55,-3.16,-1.67,-2.21,1.13,-0.92,-0.67,0.78
238,0,0,NA,NA,0.68,-0.79,-0.55,-0.04,1,1.91,0.67,0.24,-1.55,0.29,-0.17,-0.92,-0.67,1.01
239,0,0,NA,NA,0.68,-0.1,0.6,-0.54,1,2.05,0.81,0.4,-1.46,0.41,0.54,-0.92,-0.67,0.84
241,0,0,0,NA,0.68,1.31,0.57,-0.54,-0.26,1.29,0.96,0.44,-0.83,0.49,0.27,-0.92,-0.67,0.17
242,0,0,0,0,0.68,1.09,0.83,-0.54,-0.96,1.06,0.61,0.44,1.02,0.86,-0.27,-0.92,-0.67,-1.38
243,0,0,0,0,0.59,-0.83,0.97,-0.4,-0.52,0.49,0.04,0.44,0.25,0.37,-0.58,-0.92,-0.67,-0.75
244,0,0,0,NA,0.29,-0.9,1.32,-0.08,0.25,-0.26,-0.89,0.24,-0.02,0.21,-0.17,-0.92,-0.67,-0.61
245,0,0,0,NA,0.04,-0.9,-0.1,-0.03,0.01,-0.03,-0.82,0.16,-0.02,0.08,0.64,-0.92,-0.67,-0.27
246,0,0,NA,NA,-0.67,-0.9,0.22,-0.41,0.91,1.01,-1.02,0.28,-0.74,-0.41,1.2,-0.92,-0.67,0.38
247,0,0,0,0,-1.78,-0.9,1.16,0.69,1,0.49,-1.56,-0.55,-1.52,-1.68,1.34,-0.92,-0.67,0.74
248,0,0,0,0,-1.78,-0.9,-0.29,1.59,0.6,0.12,-1.79,-2.05,-1.55,-1.96,1.52,-0.92,-0.67,0.86
255,0,0,0,NA,0.66,-0.9,0.71,-0.5,1,1.72,0.15,0.4,-1.28,0.41,-1.58,-0.92,-0.67,1.04
257,0,0,0,0,0.68,-0.9,-0.45,-0.54,0.05,0.78,0.38,0.48,-0.11,0.53,-0.04,-0.92,-0.67,0.54
258,0,0,NA,NA,0.68,-0.9,-0.78,-0.54,-1.2,-0.03,0.65,0.48,1.14,0.45,-0.51,-0.92,-0.67,0.33
259,0,1,0,0,0.68,0.41,0.57,-0.54,-1.2,-0.03,0.79,0.48,0.87,0.45,-0.48,-0.92,-0.67,0
261,0,0,0,0,0.41,-0.9,-1.1,0,-1.2,-1.11,-0.06,0.28,1.32,0.53,-0.56,-0.92,-0.67,-2.17
262,0,0,NA,NA,-1.68,-0.9,-1.22,3.19,-1.18,-1.53,-1.28,-3.2,-1.07,-2.13,-0.37,-0.92,-0.67,-1.49
263,0,0,0,NA,-1.78,-0.9,-0.66,1.18,0.27,0.3,-1.41,-1.18,-1.43,-1.84,0.37,-0.92,-0.67,-0.44
273,0,0,0,NA,-0.7,-0.9,-0.99,-0.05,0.54,-0.07,-0.69,0.32,0.16,-0.33,-1.23,-0.92,-0.67,0.94
274,0,0,NA,NA,0.24,-0.9,-1.06,0.46,-0.92,-0.5,-0.83,0.09,0.31,-0.12,-0.59,-0.92,-0.67,0.62
275,0,0,0,0,0.68,-0.9,-1.29,-0.01,-1.2,-1.01,-0.38,0.36,1.11,0.29,-0.41,-0.92,-0.67,0.13
276,0,0,0,0,0.68,-0.9,0.39,-0.33,-1.2,-1.11,0.29,0.48,1.2,0.33,-1.39,-0.92,-0.67,-0.58
279,0,0,0,NA,0.41,-0.9,-0.55,-0.48,-1.2,-1.67,-0.4,0.44,1.29,0.49,-1.51,-0.92,-0.67,-1.57
280,0,0,0,0,-1.78,-0.9,0.06,0.57,0.1,0.78,-1.28,-0.15,-0.65,-1.51,-1.13,-0.92,-0.67,-0.04
281,0,0,0,0,-1.78,-0.9,0.25,1.11,1,0.02,-1.27,-1.1,-1.46,-1.8,-0.09,-0.92,-0.67,0.31
292,0,0,0,0,-1.78,-0.9,-1.64,1.72,-1.2,-1.91,-0.99,-1.5,0.28,-1.55,0.17,-0.92,-0.67,0.58
293,0,0,0,NA,-0.8,-0.9,-0.73,1.05,-1.2,-2,-0.58,-0.43,0.99,-0.65,-0.27,-0.92,-0.67,0.02
294,0,0,0,NA,-1.44,-0.9,-1.99,1.1,-1.2,-1.91,-0.29,-0.55,1.2,-0.98,-1.12,-0.92,-0.67,-1.06
296,0,0,0,NA,-1.51,-0.9,-1.08,1.47,-1.2,-1.25,-0.65,-1.18,0.84,-1.27,-1.56,-0.92,-0.67,-1.23
297,0,0,NA,NA,-1.66,-0.9,-0.78,0.41,-0.76,0.26,-1.23,0.05,0.31,-1.23,-1.33,-0.92,-0.67,-0.44
298,0,0,0,NA,-1.78,-0.9,1.48,1.5,1,-0.17,-1.42,-1.65,-1.37,-1.88,-0.93,-0.92,-0.67,0.29
309,0,0,0,NA,-1.78,-0.9,-1.85,2.81,-1.2,-2.05,-0.59,-2.92,-1.19,-2.17,0.93,-0.92,-0.67,1
310,0,0,0,0,-1.78,-0.9,-0.85,2.87,-1.2,-2,-1.18,-2.96,-1.31,-2.17,1.04,-0.92,-0.67,0.73
311,0,0,0,NA,-1.78,-0.9,-1.41,3.15,-1.2,-2.05,-1.14,-3.16,-1.22,-2.21,0.41,-0.92,-0.67,0.41
312,0,0,0,NA,-1.78,-0.9,-0.89,3.24,-1.2,-2.15,-1.12,-3.2,-1.28,-2.21,-0.14,-0.92,-0.67,0.21
313,0,0,NA,NA,-1.78,-0.9,-0.55,4.03,-1.2,-2.1,-1.39,-3.35,-1.61,-2.29,-0.73,-0.92,-0.67,0.28
316,0,0,0,NA,-1.78,-0.9,-0.68,1.96,1,-0.68,-1.83,-2.37,-1.46,-2.04,-0.06,-0.92,-0.67,0.6
327,0,0,NA,NA,-1.78,-0.9,-1.9,3.15,-0.48,-1.72,-1.58,-3.24,-1.52,-2.25,2.04,-0.92,-0.67,1.13
328,0,0,0,NA,-1.78,-0.9,-0.66,2.59,-0.85,-1.49,-1.42,-2.84,-1.37,-2.17,1.93,-0.92,-0.67,0.94
329,0,0,0,0,-1.78,-0.9,-0.94,2.35,-1.18,-1.67,-1.11,-2.64,-0.98,-2.04,1.32,-0.92,-0.67,0.78
330,0,0,0,NA,-1.78,-0.9,-1.71,2.93,-1.09,-1.67,-1.75,-3.12,-1.28,-2.21,0.78,-0.92,-0.67,0.7
355,0,0,NA,NA,-1.78,-0.9,2.23,0.22,1,0.54,-0.79,0.16,-1.43,-1.55,-1.49,-0.92,-0.67,-0.08
362,0,0,NA,NA,-1.66,-0.9,1.69,1.89,1,0.59,-1.47,-2.17,-1.61,-1.96,-0.83,-0.81,-0.67,0.17
363,0,0,0,0,0.22,-0.9,1.81,-0.48,1,0.78,-0.63,0.44,-0.95,0.12,-0.94,0.85,-0.67,-0.94
364,0,0,0,NA,-1.63,-0.9,-0.41,0.61,1,-0.03,-1.16,-0.15,-1.31,-1.51,-0.76,-0.79,-0.67,-0.36
370,0,0,0,0,-0.89,-0.9,0.48,2.31,1,0.96,-1.2,-2.72,-1.64,-1.39,-1.65,-0.13,-0.67,0.39
371,0,0,0,0,0.68,-0.9,-0.59,-0.54,1,0.59,-0.14,0.44,-0.98,0.29,-1.04,1.26,-0.67,0.02
372,0,0,0,0,0.24,-0.9,0.18,-0.27,1,-0.35,-0.62,0.36,-0.2,0.29,-0.04,0.87,-0.67,0.15
373,0,0,0,NA,-1.36,-0.9,2.09,0.44,1,0.49,-1.12,0.01,-1.04,-1.23,0.74,-0.55,-0.67,0.55
378,0,0,0,0,0.24,-0.9,-0.78,-0.07,1,0.35,-0.94,0.28,-0.71,0.17,-1.05,0.87,0.26,0.72
380,0,0,0,0,0.68,-0.9,-0.57,-0.54,1,0.12,0.24,0.44,-0.59,0.41,0.25,1.26,-0.67,0.61
381,0,0,0,0,0.56,-0.9,0.22,-0.5,1,-0.64,-0.13,0.44,0.48,0.57,1.04,1.15,-0.67,0.54
