Site,SO1,SO2,SO3,SO4,R,C,Sbl,Kud,Imp,Hum,AllPrey,Bound,Post,Riv
205_02,1,0,0,0,0.08,-0.08,0.53,-0.43,-0.56,-0.77,0.26,0.70,-0.52,-0.65
205_03,0,0,0,0,0.99,-0.04,0.53,-0.12,-0.52,-0.82,0.34,0.81,-0.65,-0.47
205_04,0,0,0,1,1.29,0.35,0.69,0.06,-0.86,-0.92,0.34,0.92,-0.77,-0.33
205_05,0,0,0,0,0.99,1.31,0.90,-0.50,-1.20,-0.98,0.01,1.00,-0.85,-0.21
205_06,0,0,0,0,-0.16,1.58,0.95,-0.93,-1.20,-0.98,0.01,1.05,-0.88,-0.11
205_07,0,0,0,0,-0.98,1.51,0.99,-0.81,-1.20,-0.98,0.17,1.12,-0.92,-0.03
205_08,0,0,0,0,-1.09,1.21,0.95,-0.37,-1.16,-1.03,0.34,1.21,-0.98,0.05
224_01,0,0,0,0,-1.01,-0.57,-0.74,0.06,1.75,-0.35,1.48,-0.36,-1.43,-3.49
224_02,0,0,0,0,-0.87,-0.51,-0.86,0.13,1.75,-0.40,1.32,-0.29,-1.30,-2.79
224_03,0,0,0,0,-0.72,0.25,-0.65,0.19,1.22,-0.51,0.99,-0.20,-1.16,-2.46
224_04,0,1,0,0,-0.50,-0.47,-0.95,0.19,1.63,-0.45,0.91,-0.11,-1.05,-2.53
224_05,0,0,0,0,-0.09,-1.03,-0.95,0.25,1.60,-0.51,0.91,0.00,-0.95,-2.43
224_06,0,0,0,0,-0.20,-0.54,-0.65,0.38,1.22,-0.56,0.99,0.11,-0.85,-2.51
224_07,0,0,0,0,-0.83,0.32,-0.74,0.38,1.44,-0.35,1.24,-0.61,-1.27,-2.12
224_08,0,0,0,0,-0.87,0.19,-0.65,-0.12,1.29,-0.30,0.91,-0.64,-1.15,-2.21
259_01,0,0,0,0,-0.60,0.06,-0.40,0.63,0.20,-0.14,0.17,-0.40,0.02,0.14
259_02,0,0,0,0,-0.33,1.11,-0.19,0.31,-0.33,-0.19,-0.23,-0.51,-0.11,0.15
259_03,0,0,0,0,1.15,1.48,-0.19,0.31,-0.40,-0.19,-0.32,-0.64,-0.25,0.10
259_04,0,0,0,0,1.60,1.05,-0.36,0.38,0.09,-0.14,0.01,-0.74,-0.38,0.07
259_05,0,1,1,0,0.12,0.32,-0.02,0.81,0.16,0.95,0.17,-0.83,-0.51,0.03
259_06,0,0,0,0,-0.81,-1.50,-0.40,0.88,1.29,1.11,0.42,-0.91,-0.63,0.01
259_07,0,0,0,0,0.25,-1.43,-0.40,0.88,1.18,1.06,0.17,-0.95,-0.73,0.03
259_08,0,0,0,0,-0.01,-1.00,-0.44,0.88,1.26,1.06,0.17,-0.97,-0.82,0.06
259_09,0,0,0,0,-0.82,-1.40,-0.48,0.88,1.37,1.06,0.26,-1.03,-0.92,0.02
